t1time,t1concentration,t1saturation,t1temp,t2time,t2concentration,t2saturation,t2temp,t3time,t3concentration,t3saturation,t3temp,t4time,t4concentration,t4saturation,t4temp,t5time,t5concentration,t5saturation,t5temp,t6time,t6concentration,t6saturation,t6temp,t7time,t7concentration,t7saturation,t7temp
170,0.5,5.7,22.4,560,0.43,4.9,22.4,180,0.5,5.8,22.4,610,0.45,5.1,22,200,7.65,87.6,22.2,410,4.46,51.1,22.3,190,0.52,5.9,22.3
172,0.5,5.7,22.4,562,0.42,4.9,22.4,182,0.5,5.8,22.4,611,0.45,5.1,22,202,7.65,87.6,22.2,412,4.5,51.5,22.3,192,0.51,5.9,22.3
174,0.5,5.7,22.4,564,0.42,4.8,22.4,184,0.5,5.8,22.4,612,0.45,5.1,22,204,7.65,87.6,22.2,414,4.54,52,22.3,194,0.51,5.8,22.3
176,0.5,5.7,22.4,566,0.42,4.8,22.4,186,0.5,5.8,22.4,613,0.45,5.1,22,206,7.63,87.3,22.2,416,4.58,52.5,22.3,196,0.51,5.8,22.3
178,0.49,5.7,22.4,568,0.42,4.8,22.4,188,0.5,5.7,22.4,614,0.45,5.1,22,208,7.6,87,22.2,418,4.61,52.8,22.3,198,0.51,5.8,22.3
180,0.49,5.7,22.4,570,0.42,4.8,22.4,190,0.5,5.7,22.4,615,0.45,5.1,22,210,7.58,86.8,22.2,420,4.63,53.1,22.3,200,0.5,5.8,22.3
182,0.49,5.6,22.4,572,0.42,4.8,22.4,192,0.49,5.6,22.4,616,0.45,5.1,22,212,7.58,86.8,22.2,422,4.67,53.5,22.3,202,0.5,5.8,22.3
184,0.49,5.6,22.4,574,0.42,4.8,22.4,194,0.48,5.5,22.4,617,0.45,5.1,22,214,7.6,86.9,22.2,424,4.72,54.1,22.3,204,0.5,5.8,22.3
186,0.49,5.6,22.4,576,0.42,4.8,22.4,196,0.48,5.5,22.4,618,0.45,5.1,22,216,7.61,87.1,22.2,426,4.76,54.5,22.3,206,0.5,5.8,22.3
188,0.49,5.6,22.4,578,0.42,4.8,22.4,198,0.48,5.5,22.4,619,0.45,5.1,22,218,7.63,87.3,22.2,428,4.79,54.9,22.3,208,0.51,5.8,22.3
190,0.49,5.6,22.4,580,0.42,4.8,22.4,200,0.48,5.5,22.4,620,0.45,5.1,22,220,7.63,87.3,22.2,430,4.84,55.5,22.3,210,0.51,5.8,22.3
192,0.49,5.6,22.4,582,0.42,4.9,22.4,202,0.48,5.5,22.4,621,0.45,5.1,22,222,7.61,87,22.2,432,4.91,56.3,22.3,212,0.51,5.8,22.3
194,0.49,5.6,22.4,584,0.43,4.9,22.4,204,0.48,5.5,22.4,622,0.45,5.1,22,224,7.58,86.8,22.2,434,4.98,57.1,22.3,214,0.5,5.8,22.3
196,0.49,5.6,22.4,586,0.43,4.9,22.4,206,0.48,5.5,22.4,623,0.45,5.1,22,226,7.6,87,22.2,436,5.03,57.6,22.3,216,0.5,5.8,22.3
198,0.49,5.6,22.4,588,0.43,4.9,22.4,208,0.48,5.5,22.4,624,0.45,5.1,22,228,7.67,87.8,22.2,438,5.07,58.1,22.3,218,0.5,5.8,22.3
200,0.49,5.6,22.4,590,0.43,4.9,22.4,210,0.48,5.5,22.4,625,0.45,5.1,22,230,7.73,88.5,22.2,440,5.12,58.6,22.3,220,0.5,5.8,22.3
202,0.48,5.6,22.4,592,0.43,5,22.4,212,0.47,5.4,22.4,626,0.44,5.1,22,232,7.76,88.8,22.2,442,5.16,59.2,22.3,222,0.5,5.8,22.3
204,0.48,5.5,22.4,594,0.44,5,22.4,214,0.47,5.4,22.4,627,0.44,5.1,22,234,7.78,89,22.2,444,5.2,59.6,22.3,224,0.5,5.7,22.3
206,0.48,5.5,22.4,596,0.44,5,22.4,216,0.47,5.4,22.4,628,0.44,5,22,236,7.79,89.1,22.2,446,5.24,60,22.3,226,0.5,5.7,22.3
208,0.48,5.5,22.4,598,0.43,5,22.4,218,0.47,5.4,22.4,629,0.44,5,22,238,7.79,89.1,22.2,448,5.26,60.3,22.3,228,0.49,5.6,22.3
210,0.47,5.4,22.4,600,0.43,4.9,22.4,220,0.47,5.3,22.4,630,0.44,5,22,240,7.77,88.9,22.2,450,5.28,60.5,22.3,230,0.49,5.6,22.3
212,0.47,5.4,22.4,602,0.43,4.9,22.4,222,0.46,5.3,22.4,631,0.44,5,22,242,7.76,88.8,22.2,452,5.31,60.8,22.3,232,0.49,5.6,22.3
214,0.47,5.4,22.4,604,0.42,4.9,22.4,224,0.46,5.3,22.4,632,0.44,5,22,244,7.77,88.9,22.2,454,5.34,61.2,22.3,234,0.5,5.7,22.3
216,0.47,5.4,22.4,606,0.42,4.9,22.4,226,0.47,5.4,22.4,633,0.44,5,22,246,7.8,89.2,22.2,456,5.38,61.6,22.3,236,0.5,5.7,22.3
218,0.47,5.4,22.4,608,0.42,4.8,22.4,228,0.47,5.4,22.4,634,0.44,5,22,248,7.83,89.6,22.2,458,5.4,61.9,22.3,238,0.5,5.7,22.3
220,0.47,5.3,22.4,610,0.42,4.8,22.4,230,0.47,5.4,22.4,635,0.44,5,22,250,7.85,89.8,22.2,460,5.42,62.2,22.3,240,0.5,5.7,22.3
222,0.47,5.3,22.4,612,0.42,4.9,22.4,232,0.47,5.4,22.4,636,0.44,5,22,252,7.86,90,22.2,462,5.45,62.5,22.3,242,0.5,5.7,22.3
224,0.47,5.4,22.4,614,0.43,4.9,22.4,234,0.47,5.4,22.4,637,0.44,5,22,254,7.86,90,22.2,464,5.5,63,22.3,244,0.5,5.7,22.3
226,0.47,5.4,22.4,616,0.43,4.9,22.4,236,0.47,5.4,22.4,638,0.44,5.1,22,256,7.86,89.9,22.2,466,5.56,63.7,22.3,246,0.5,5.8,22.3
228,0.47,5.4,22.4,618,0.43,4.9,22.4,238,0.47,5.4,22.4,639,0.44,5.1,22,258,7.86,89.9,22.2,468,5.62,64.4,22.3,248,0.51,5.8,22.3
230,0.47,5.3,22.4,620,0.43,4.9,22.4,240,0.47,5.4,22.4,640,0.44,5.1,22,260,7.88,90.2,22.2,470,5.67,64.9,22.3,250,0.5,5.8,22.3
232,0.46,5.3,22.4,622,0.43,4.9,22.4,242,0.47,5.4,22.4,641,0.44,5.1,22,262,7.9,90.4,22.2,472,5.7,65.4,22.3,252,0.5,5.7,22.3
234,0.46,5.3,22.4,624,0.43,4.9,22.4,244,0.46,5.3,22.4,642,0.44,5.1,22,264,7.92,90.6,22.2,474,5.73,65.7,22.3,254,0.5,5.7,22.3
236,0.46,5.3,22.4,626,0.43,4.9,22.4,246,0.46,5.3,22.4,643,0.45,5.1,22,266,7.92,90.6,22.2,476,5.77,66.1,22.3,256,0.49,5.7,22.3
238,0.46,5.3,22.3,628,0.43,4.9,22.4,248,0.46,5.3,22.4,644,0.45,5.1,22,268,7.9,90.4,22.2,478,5.81,66.6,22.3,258,0.5,5.7,22.3
240,0.46,5.3,22.4,630,0.42,4.9,22.4,250,0.46,5.3,22.4,645,0.45,5.1,22,270,7.86,90,22.2,480,5.85,67,22.3,260,0.5,5.7,22.3
242,0.46,5.3,22.3,632,0.42,4.8,22.4,252,0.46,5.3,22.4,646,0.45,5.1,22,272,7.84,89.7,22.2,482,5.85,67,22.3,262,0.5,5.7,22.3
244,0.46,5.2,22.4,634,0.41,4.7,22.4,254,0.46,5.3,22.4,647,0.45,5.1,22,274,7.85,89.9,22.2,484,5.86,67.1,22.3,264,0.5,5.7,22.3
246,0.46,5.2,22.3,636,0.41,4.7,22.4,256,0.46,5.3,22.4,648,0.45,5.1,22,276,7.91,90.4,22.2,486,5.89,67.5,22.3,266,0.49,5.6,22.3
248,0.45,5.2,22.4,638,0.41,4.7,22.4,258,0.46,5.3,22.4,649,0.45,5.1,22,278,7.95,91,22.2,488,5.94,68.1,22.3,268,0.49,5.6,22.3
