t1time,t1concentration,t1saturation,t1temp,t2time,t2concentration,t2saturation,t2temp,t3time,t3concentration,t3saturation,t3temp,t4time,t4concentration,t4saturation,t4temp,t5time,t5concentration,t5saturation,t5temp,t6time,t6concentration,t6saturation,t6temp,t7time,t7concentration,t7saturation,t7temp
768,0.47,5.4,22.4,864,0.54,6.2,22.4,666,0.43,4.9,22.5,901,0.46,5.3,22,208,7.6,87,22.2,410,4.46,51.1,22.3,574,0.45,5.1,22.3
770,0.48,5.6,22.4,866,0.56,6.5,22.4,668,0.43,5,22.4,902,0.47,5.4,22.1,210,7.58,86.8,22.2,412,4.5,51.5,22.3,576,0.45,5.2,22.3
772,0.5,5.7,22.4,868,0.59,6.8,22.4,670,0.44,5,22.5,903,0.48,5.4,22,212,7.58,86.8,22.2,414,4.54,52,22.3,578,0.46,5.3,22.3
774,0.52,5.9,22.4,870,0.62,7.1,22.4,672,0.45,5.1,22.4,904,0.48,5.5,22,214,7.6,86.9,22.2,416,4.58,52.5,22.3,580,0.47,5.4,22.3
776,0.53,6.1,22.4,872,0.65,7.4,22.4,674,0.46,5.3,22.4,905,0.49,5.6,22.1,216,7.61,87.1,22.2,418,4.61,52.8,22.3,582,0.49,5.6,22.3
778,0.55,6.4,22.4,874,0.68,7.8,22.4,676,0.47,5.4,22.4,906,0.5,5.7,22.1,218,7.63,87.3,22.2,420,4.63,53.1,22.3,584,0.5,5.7,22.3
780,0.58,6.6,22.4,876,0.72,8.2,22.4,678,0.48,5.5,22.5,907,0.51,5.8,22,220,7.63,87.3,22.2,422,4.67,53.5,22.3,586,0.51,5.9,22.3
782,0.6,6.9,22.4,878,0.76,8.7,22.4,680,0.5,5.7,22.5,908,0.51,5.9,22.1,222,7.61,87,22.2,424,4.72,54.1,22.3,588,0.53,6.1,22.3
784,0.62,7.1,22.4,880,0.8,9.2,22.4,682,0.52,6,22.5,909,0.52,6,22,224,7.58,86.8,22.2,426,4.76,54.5,22.3,590,0.56,6.4,22.3
786,0.64,7.4,22.4,882,0.84,9.6,22.4,684,0.55,6.3,22.5,910,0.53,6.1,22,226,7.6,87,22.2,428,4.79,54.9,22.3,592,0.58,6.7,22.3
788,0.67,7.7,22.4,884,0.88,10.1,22.4,686,0.58,6.6,22.5,911,0.55,6.2,22,228,7.67,87.8,22.2,430,4.84,55.5,22.3,594,0.62,7.1,22.3
790,0.69,8,22.4,886,0.92,10.6,22.4,688,0.61,7,22.5,912,0.56,6.3,22,230,7.73,88.5,22.2,432,4.91,56.3,22.3,596,0.65,7.5,22.3
792,0.73,8.3,22.4,888,0.97,11.1,22.4,690,0.64,7.4,22.4,913,0.57,6.5,22,232,7.76,88.8,22.2,434,4.98,57.1,22.3,598,0.68,7.9,22.3
794,0.76,8.8,22.4,890,1.02,11.7,22.4,692,0.68,7.8,22.4,914,0.58,6.6,22.1,234,7.78,89,22.2,436,5.03,57.6,22.3,600,0.72,8.3,22.3
796,0.8,9.2,22.4,892,1.07,12.3,22.4,694,0.72,8.2,22.5,915,0.59,6.8,22.1,236,7.79,89.1,22.2,438,5.07,58.1,22.3,602,0.76,8.7,22.3
798,0.83,9.6,22.4,894,1.12,12.9,22.4,696,0.76,8.7,22.5,916,0.61,6.9,22.1,238,7.79,89.1,22.2,440,5.12,58.6,22.3,604,0.8,9.2,22.3
800,0.87,9.9,22.4,896,1.17,13.4,22.4,698,0.8,9.2,22.5,917,0.62,7.1,22.1,240,7.77,88.9,22.2,442,5.16,59.2,22.3,606,0.85,9.7,22.3
802,0.9,10.3,22.4,898,1.22,14,22.4,700,0.84,9.7,22.5,918,0.64,7.3,22.1,242,7.76,88.8,22.2,444,5.2,59.6,22.3,608,0.89,10.2,22.3
804,0.94,10.8,22.4,900,1.27,14.6,22.4,702,0.89,10.3,22.5,919,0.65,7.4,22.1,244,7.77,88.9,22.2,446,5.24,60,22.3,610,0.94,10.8,22.3
806,0.98,11.2,22.4,902,1.32,15.2,22.4,704,0.94,10.9,22.5,920,0.67,7.6,22.1,246,7.8,89.2,22.2,448,5.26,60.3,22.3,612,0.99,11.3,22.3
808,1.02,11.7,22.4,904,1.37,15.8,22.4,706,1,11.4,22.5,921,0.68,7.8,22.1,248,7.83,89.6,22.2,450,5.28,60.5,22.3,614,1.03,11.8,22.3
810,1.06,12.1,22.4,906,1.42,16.3,22.4,708,1.05,12.1,22.5,922,0.7,8,22.1,250,7.85,89.8,22.2,452,5.31,60.8,22.3,616,1.08,12.4,22.3
812,1.09,12.6,22.4,908,1.47,16.9,22.4,710,1.1,12.7,22.5,923,0.72,8.2,22.1,252,7.86,90,22.2,454,5.34,61.2,22.3,618,1.13,12.9,22.3
814,1.13,12.9,22.4,910,1.52,17.5,22.4,712,1.16,13.3,22.5,924,0.74,8.4,22.1,254,7.86,90,22.2,456,5.38,61.6,22.3,620,1.18,13.5,22.3
816,1.16,13.3,22.4,912,1.57,18.1,22.4,714,1.21,13.9,22.5,925,0.76,8.6,22.1,256,7.86,89.9,22.2,458,5.4,61.9,22.3,622,1.22,14,22.3
818,1.19,13.6,22.4,914,1.63,18.7,22.4,716,1.26,14.5,22.5,926,0.77,8.8,22.1,258,7.86,89.9,22.2,460,5.42,62.2,22.3,624,1.27,14.6,22.3
820,1.22,14,22.4,916,1.68,19.3,22.4,718,1.31,15.1,22.5,927,0.79,9.1,22.1,260,7.88,90.2,22.2,462,5.45,62.5,22.3,626,1.33,15.2,22.3
822,1.25,14.4,22.4,918,1.73,19.9,22.4,720,1.36,15.7,22.5,928,0.81,9.3,22.1,262,7.9,90.4,22.2,464,5.5,63,22.3,628,1.38,15.8,22.3
824,1.28,14.7,22.4,920,1.78,20.4,22.4,722,1.42,16.3,22.4,929,0.83,9.5,22.1,264,7.92,90.6,22.2,466,5.56,63.7,22.3,630,1.43,16.4,22.3
826,1.32,15.1,22.4,922,1.83,21.1,22.4,724,1.47,16.9,22.4,930,0.85,9.7,22.1,266,7.92,90.6,22.2,468,5.62,64.4,22.3,632,1.48,17,22.3
828,1.36,15.6,22.4,924,1.88,21.7,22.4,726,1.53,17.6,22.4,931,0.87,10,22.1,268,7.9,90.4,22.2,470,5.67,64.9,22.3,634,1.54,17.7,22.3
830,1.41,16.2,22.4,926,1.94,22.3,22.4,728,1.59,18.3,22.4,932,0.9,10.2,22.1,270,7.86,90,22.2,472,5.7,65.4,22.3,636,1.6,18.4,22.3
832,1.46,16.7,22.4,928,1.99,22.8,22.4,730,1.65,19,22.5,933,0.92,10.5,22.1,272,7.84,89.7,22.2,474,5.73,65.7,22.3,638,1.66,19.1,22.3
834,1.5,17.2,22.4,930,2.04,23.4,22.4,732,1.71,19.7,22.5,934,0.95,10.8,22.1,274,7.85,89.9,22.2,476,5.77,66.1,22.3,640,1.72,19.7,22.3
836,1.54,17.7,22.4,932,2.08,23.9,22.4,734,1.77,20.4,22.5,935,0.97,11.1,22.1,276,7.91,90.4,22.2,478,5.81,66.6,22.3,642,1.78,20.4,22.3
838,1.58,18.2,22.4,934,2.14,24.6,22.4,736,1.83,21,22.5,936,0.99,11.3,22.1,278,7.95,91,22.2,480,5.85,67,22.3,644,1.84,21.1,22.3
840,1.62,18.6,22.4,936,2.2,25.3,22.4,738,1.89,21.7,22.5,937,1.02,11.6,22.1,280,7.99,91.4,22.2,482,5.85,67,22.3,646,1.9,21.8,22.3
842,1.66,19.1,22.4,938,2.26,26,22.4,740,1.95,22.4,22.5,938,1.04,11.9,22.1,282,8.03,91.9,22.2,484,5.86,67.1,22.3,648,1.96,22.5,22.3
844,1.7,19.6,22.4,940,2.32,26.6,22.4,742,2.01,23.1,22.5,939,1.07,12.2,22.1,284,8.1,92.7,22.2,486,5.89,67.5,22.3,650,2.02,23.2,22.3
846,1.74,20,22.4,942,2.37,27.3,22.4,744,2.07,23.8,22.5,940,1.1,12.5,22.1,286,8.17,93.5,22.2,488,5.94,68.1,22.3,652,2.08,23.9,22.3
848,1.79,20.5,22.4,944,2.43,28,22.4,746,2.13,24.5,22.5,941,1.12,12.8,22.1,288,8.22,94.1,22.2,490,5.98,68.6,22.3,654,2.14,24.6,22.3
850,1.83,21,22.4,946,2.5,28.7,22.4,748,2.18,25.1,22.4,942,1.15,13.1,22.1,290,8.24,94.3,22.2,492,6.02,69,22.3,656,2.2,25.2,22.3
852,1.87,21.5,22.4,948,2.56,29.4,22.4,750,2.23,25.6,22.5,943,1.17,13.4,22.1,292,8.23,94.1,22.2,494,6.09,69.8,22.3,658,2.25,25.8,22.3
854,1.92,22,22.4,950,2.62,30.1,22.4,752,2.28,26.3,22.5,944,1.2,13.7,22.1,294,8.18,93.7,22.2,496,6.16,70.6,22.3,660,2.3,26.4,22.3
856,1.96,22.5,22.4,952,2.68,30.8,22.4,754,2.34,26.9,22.5,945,1.23,14,22.1,296,8.15,93.3,22.2,498,6.22,71.3,22.3,662,2.36,27.1,22.3
858,2.01,23.1,22.4,954,2.74,31.5,22.4,756,2.4,27.6,22.5,946,1.25,14.3,22.1,298,8.13,93.1,22.2,,,,,664,2.43,27.9,22.3
860,2.05,23.5,22.4,956,2.81,32.3,22.4,758,2.46,28.3,22.5,947,1.28,14.6,22.1,300,8.11,92.8,22.2,,,,,666,2.49,28.6,22.3
